Loan.Status,Term,Years.in.current.job,Home.Ownership,Purpose,Current.Loan.Amount,Credit.Score,Annual.Income,Monthly.Debt,Years.of.Credit.History,Months.since.last.delinquent,Number.of.Open.Accounts,Number.of.Credit.Problems,Current.Credit.Balance,Maximum.Open.Credit,Bankruptcies,Tax.Liens,ID
1,Long Term,1 year,Rent,debt consolidation,367047.5880943891,699,813731.0651964591,14104.78660246329,15.3,12.4,7,2,137748.00782920557,386166.10382757464,2,2,1
1,Short Term,2 years,Rent,debt consolidation,206163.1753456873,727,741834.9091870675,3215.344141779204,10.1,23.8,11,2,97754.43540359904,150324.56445813752,0,2,3
0,Long Term,8 years,Home Mortgage,debt consolidation,443432.9641985855,720,1302071.32107093,18229.974353943184,18.3,20.9,11,1,329840.3964257048,802364.2219041765,0,0,8
1,Short Term,10+ years,Home Mortgage,debt consolidation,772618.0956224378,712,2383076.466543495,29193.156705481575,22.5,23,15,0,420716.77700997115,689040.432488571,0,2,9
1,Long Term,< 1 year,Own Home,debt consolidation,556951.771242173,671,1503127.248989019,15157.532496572747,14.7,17.6,4,1,66368.15998117445,84810.56734338983,1,0,15
1,Short Term,10+ years,Home Mortgage,other,450252.2262199278,694,2080367.1375647516,18723.38859776429,19.5,9.9,7,1,209360.70542988932,398727.23829051864,1,1,21
1,Short Term,7 years,Rent,debt consolidation,405350.01743184443,733,1750354.6956961153,14877.95421054919,39.3,13.9,8,0,453853.9005021211,1236487.0710887876,1,0,23
1,Short Term,10+ years,Rent,debt consolidation,223894.10637327805,743,1972297.0400884536,30899.83610199368,14.3,27.3,11,0,105051.24817298117,380138.502456603,0,0,24
0,Short Term,10+ years,Own Home,debt consolidation,757988.3132368007,706,1627216.9588819952,14647.171245895599,17.2,18,16,3,91430.32597230449,317900.39089044905,2,2,32
1,Long Term,8 years,Home Mortgage,debt consolidation,265011.51900611783,725,3432996.1958132195,31756.93370402585,21.5,10.9,21,0,660384.2396071085,2124012.049011207,0,1,37
1,Short Term,10+ years,Home Mortgage,debt consolidation,128942.99347343262,712,1633201.7262190706,44506.00439642235,20.8,9.3,14,0,72885.1997395011,120386.12862166487,0,0,41
1,Short Term,5 years,Home Mortgage,business loan,222946.34250180775,728,1540367.9867596037,32219.263798161697,15.3,6.7,22,1,201837.92184497006,428053.6285213443,0,0,43
0,Long Term,10+ years,Rent,debt consolidation,392435.5022976384,724,779969.4584658827,22098.64803241158,15,8.8,10,0,245212.92730271176,462418.4806670503,0,0,44
0,Short Term,10+ years,Home Mortgage,debt consolidation,43515.098405734076,712,939360.1594872908,19179.28856171987,12.8,3.2,6,0,198130.93249756456,363572.0496427688,0,1,46
1,Short Term,10+ years,Home Mortgage,debt consolidation,536823.1079558607,716,1545383.8599858666,17127.23030962311,17.6,6.4,9,1,354824.8797340653,552948.4943637779,1,1,47
0,Short Term,7 years,Home Mortgage,debt consolidation,182710.0102363137,704,1314972.4938196312,21697.756133312967,11.2,14.8,15,1,163001.33496275765,570218.5667823297,0,0,49
1,Short Term,8 years,Home Mortgage,debt consolidation,290003.94904870435,686,1047507.1113647263,30028.26306408114,22.4,7.4,14,0,244547.8832381883,417008.9696903105,0,0,54
1,Short Term,10+ years,Home Mortgage,home improvements,263976.9605748269,711,3838379.4025195236,31217.280038308836,34.6,4.6,5,0,1083.1546033872119,22000.712229583543,0,0,55
1,Short Term,10+ years,Rent,debt consolidation,125642.28752842124,742,968811.1923610141,4223.695881082331,12.7,12.6,12,0,121296.93572154595,269564.61203595024,1,0,56
1,Long Term,4 years,Home Mortgage,debt consolidation,788260.1052471114,723,1935302.2737691407,19353.029549211442,30.3,26.2,10,0,794066.5953243334,1360107.2315736506,0,1,58
0,Long Term,6 years,Home Mortgage,debt consolidation,435029.3287954975,673,1784613.4630426527,26010.90518876641,18.1,28.9,18,0,744287.5636139633,1050984.2860376493,0,0,60
1,Long Term,< 1 year,Rent,debt consolidation,225962.55215787765,701,817777.1368092491,15603.975055955332,15.8,14.5,23,0,59050.90937803698,256080.08586802753,0,1,63
1,Long Term,1 year,Rent,debt consolidation,372217.4839422375,707,1339442.998122881,24554.682493507367,26,4.7,10,1,127069.8637567829,400905.7003255854,0,1,68
1,Short Term,9 years,Home Mortgage,debt consolidation,268972.69653056806,741,909796.8515591067,24490.210124423516,16.5,16.8,13,0,252852.3219888871,443585.1790684249,0,0,69
0,Short Term,5 years,Rent,debt consolidation,107315.97754709455,685,608552.5522036342,6900.352861076063,21.4,16,7,0,21870.64281174093,80123.09574425234,0,1,70
1,Short Term,10+ years,Rent,debt consolidation,221980.1053255221,705,2238961.716871038,12240.497764811895,13.5,11,8,0,49361.70919621689,144716.17399391957,0,0,72
1,Long Term,< 1 year,Own Home,other,356994.31460822467,696,1059839.1131394922,7287.808821730714,21.6,11.6,9,0,123540.13269141344,481646.1038153366,0,0,73
0,Long Term,3 years,Rent,other,106920.454162128,727,769349.2691813621,14361.288958792537,14.4,1.4,7,0,79761.51713778544,215797.5935100107,0,0,79
1,Long Term,5 years,Home Mortgage,debt consolidation,436437.06659770344,715,2826915.0068808156,34158.915451916546,27.5,28.8,14,0,399531.96633958595,602361.9358204231,0,0,80
1,Short Term,9 years,Rent,debt consolidation,349271.5653386338,716,886806.1170792155,20101.082100948075,16.4,19,8,1,119586.54002280123,185878.17547076722,0,1,82
1,Short Term,1 year,Home Mortgage,home improvements,97658.3737211562,687,1405620.144894983,15111.28399545719,14.5,19.1,5,0,45981.31609132306,56454.858234223335,0,0,84
1,Short Term,< 1 year,Rent,debt consolidation,71963.53630647133,708,621567.1169886155,19941.15282871821,9.2,29,23,2,135887.81067097536,481163.016916484,2,2,91
1,Short Term,3 years,Rent,debt consolidation,154551.21406754552,721,1568069.6527868158,35150.04204918599,20.7,5.3,10,0,95438.10095319808,237644.03622147063,0,0,93
0,Long Term,10+ years,Home Mortgage,home improvements,459185.2506935942,684,1321885.262103518,32384.232715774844,33.8,13.4,22,0,213066.423546713,1239743.081682878,1,0,96
